NIK,nama,tempat_lahir,tanggal_lahir,jenis_kelamin,golongan_darah,alamat,agama,status_perkawinan,pekerjaan,kewarganegaraan
9229165952731558,Cut Putri Marbun,Makassar,1938-05-05,Perempuan,B,"Jl. Jend. Sudirman No. 183
Makassar, Sumatera Selatan 74272",Katolik,cerai,Pelajar,WNA
4648538858582865,"Cinthia Maheswara, M.TI.",Tidore Kepulauan,1911-07-21,Laki-Laki,O,"Gg. Raya Setiabudhi No. 6
Balikpapan, Bengkulu 27351",Katolik,cerai,Tidak Bekerja,WNA
8378035681587423,Amelia Jailani,Bitung,1910-02-19,Laki-Laki,O,"Jl. Gegerkalong Hilir No. 612
Dumai, LA 09446",Hindu,cerai,Tidak Bekerja,WNI
8866929699755508,"R. Sakura Putra, M.TI.",Padang,1954-09-25,Laki-Laki,O,"Gg. Ciumbuleuit No. 62
Sabang, ST 99684",Kristen,belum menikah,Pelajar,WNA
8899272628765931,"Rina Najmudin, M.Kom.",Bogor,1957-01-23,Laki-Laki,B,"Jalan Kiaracondong No. 364
Pasuruan, PB 34301",Kristen,belum menikah,PNS,WNI
0020495427386628,"Ajeng Wibowo, M.Ak",Denpasar,1986-08-11,Perempuan,AB,"Jl. Surapati No. 6
Palu, KR 67298",Hindu,menikah,Mahasiswa,WNI
5140801491188610,"Dirja Hariyah, S.IP",Solok,2013-11-07,Perempuan,AB,"Gang H.J Maemunah No. 732
Blitar, PB 44324",Buddha,belum menikah,PNS,WNI
9500888656946127,"Ami Novitasari, S.E.I",Jayapura,1925-02-05,Laki-Laki,A,"Jalan Cikutra Timur No. 63
Kota Administrasi Jakarta Utara, KB 71236",Islam,menikah,Pelajar,WNI
2740906594695140,Ella Suwarno,Banjar,1911-01-18,Perempuan,A,"Gang Sentot Alibasa No. 4
Mataram, Jawa Timur 60113",Hindu,belum menikah,Pelajar,WNA
2725401629454024,"Dt. Endra Lazuardi, M.M.",Jambi,1963-12-07,Laki-Laki,B,"Jl. Kutisari Selatan No. 4
Mataram, Sulawesi Barat 69304",Hindu,menikah,PNS,WNI
3218551190528292,"Puti Jamalia Dongoran, S.I.Kom",Langsa,1922-12-07,Laki-Laki,B,"Jl. Cihampelas No. 98
Kota Administrasi Jakarta Selatan, LA 40267",Hindu,cerai,Tidak Bekerja,WNA
9465808431065756,Almira Namaga,Sibolga,1933-10-23,Laki-Laki,AB,"Jl. S. Parman No. 16
Samarinda, DI Yogyakarta 24717",Hindu,cerai,PNS,WNA
7385463691618487,"R.M. Kamal Melani, S.Psi",Pekalongan,1946-02-23,Perempuan,O,"Jalan Lembong No. 335
Tual, Sumatera Selatan 28401",Konghucu,cerai,Tidak Bekerja,WNA
2205912129747778,"Mulya Prabowo, M.Ak",Denpasar,2011-04-25,Perempuan,B,"Gang Cihampelas No. 9
Kupang, JI 85807",Kristen,cerai,Wiraswasta,WNA
0467004424275765,Zamira Winarsih,Tanjungpinang,1989-03-25,Laki-Laki,O,"Gang Jakarta No. 3
Sukabumi, Sulawesi Tenggara 70877",Hindu,cerai,Wiraswasta,WNI
7891007015389021,Cut Vicky Agustina,Palangkaraya,1965-12-31,Laki-Laki,A,"Jl. Ciumbuleuit No. 85
Padangpanjang, Riau 22889",Konghucu,belum menikah,PNS,WNI
6715084641476994,Unggul Mandala,Tegal,1920-03-06,Laki-Laki,B,"Jalan W.R. Supratman No. 1
Tarakan, Kalimantan Barat 77665",Kristen,cerai,Tidak Bekerja,WNI
6459549933006054,Parman Firmansyah,Kota Administrasi Jakarta Utara,2008-08-31,Laki-Laki,O,"Jalan Kapten Muslihat No. 765
Tegal, ST 64918",Islam,belum menikah,Karyawan Swasta,WNA
5541556217613980,"Banawi Aryani, S.Pt",Subulussalam,1998-02-16,Perempuan,B,"Jl. Tebet Barat Dalam No. 77
Pangkalpinang, SR 95151",Kristen,cerai,Wiraswasta,WNI
5970259780183817,Kayla Waluyo,Bengkulu,1911-01-18,Perempuan,AB,"Gang Dr. Djunjunan No. 76
Tanjungpinang, Sulawesi Tenggara 54495",Buddha,menikah,Pelajar,WNI
0119257732696644,Cawisadi Hastuti,Semarang,1950-10-02,Perempuan,AB,"Jl. Pasir Koja No. 777
Dumai, JB 93806",Islam,menikah,PNS,WNI
5076550680800278,"Leo Andriani, S.IP",Serang,1986-11-05,Laki-Laki,B,"Jalan Antapani Lama No. 4
Bogor, LA 30286",Islam,menikah,Karyawan Swasta,WNA
8421110720075393,"Cut Julia Hutapea, S.E.I",Tomohon,2022-04-05,Laki-Laki,B,"Jalan Kapten Muslihat No. 20
Surabaya, KS 58530",Katolik,cerai,Wiraswasta,WNA
4537491651834120,Qori Pratama,Bengkulu,1998-11-12,Perempuan,O,"Jalan Jakarta No. 898
Serang, GO 96169",Kristen,belum menikah,PNS,WNA
6280067261265615,"Dr. Latif Winarno, S.E.",Kotamobagu,1916-04-18,Laki-Laki,B,"Jalan Sentot Alibasa No. 178
Tarakan, Jawa Tengah 87714",Kristen,belum menikah,Tidak Bekerja,WNA
0437027664984831,"Makara Napitupulu, S.I.Kom",Probolinggo,1975-09-25,Laki-Laki,O,"Gg. Ciwastra No. 519
Dumai, Jawa Barat 93675",Konghucu,belum menikah,Wiraswasta,WNA
7655456597508402,Maryanto Siregar,Bekasi,1956-12-15,Laki-Laki,B,"Jalan S. Parman No. 664
Balikpapan, Aceh 89642",Kristen,cerai,PNS,WNA
6481380090249633,Capa Hidayat,Bitung,1938-08-05,Laki-Laki,B,"Gang Cihampelas No. 232
Tomohon, Sulawesi Tenggara 86596",Buddha,cerai,Mahasiswa,WNI
3780322497783584,Darijan Marpaung,Ternate,1919-03-02,Laki-Laki,B,"Jl. Jend. Sudirman No. 8
Bau-Bau, Jawa Timur 18756",Katolik,menikah,PNS,WNA
9055319123319216,Enteng Narpati,Gorontalo,2005-11-24,Perempuan,A,"Jalan Siliwangi No. 62
Jayapura, SU 76366",Buddha,cerai,Mahasiswa,WNI
6164135620605084,Michelle Prayoga,Pekanbaru,1917-08-14,Laki-Laki,AB,"Gg. BKR No. 22
Tanjungbalai, JI 74772",Islam,menikah,Karyawan Swasta,WNI
8638105597008705,Rahmi Santoso,Tangerang Selatan,1919-05-08,Laki-Laki,AB,"Jl. Abdul Muis No. 5
Surakarta, Bengkulu 69691",Kristen,belum menikah,PNS,WNA
2458748336818632,Puti Eva Puspasari,Magelang,2022-08-26,Perempuan,AB,"Jl. Suniaraja No. 0
Yogyakarta, Sulawesi Barat 12346",Islam,cerai,Pelajar,WNA
2622250676969126,Irwan Andriani,Magelang,1929-04-18,Perempuan,B,"Jl. Kebonjati No. 928
Pangkalpinang, Kepulauan Bangka Belitung 53646",Islam,belum menikah,Tidak Bekerja,WNI
1723594495519163,"R.M. Viktor Kurniawan, S.Kom",Pasuruan,1925-12-30,Laki-Laki,O,"Jalan Peta No. 32
Jayapura, Maluku 63703",Katolik,menikah,Wiraswasta,WNI
0484440792645085,Ghaliyati Habibi,Tarakan,2001-04-08,Laki-Laki,O,"Gang Peta No. 136
Tangerang Selatan, DI Yogyakarta 50939",Katolik,menikah,Mahasiswa,WNI
6477683509001116,Galuh Manullang,Kota Administrasi Jakarta Timur,1909-07-02,Perempuan,A,"Jl. Cihampelas No. 05
Lubuklinggau, BA 02155",Kristen,belum menikah,Tidak Bekerja,WNI
4822075699782873,"Cut Yessi Wahyuni, S.T.",Bandung,1935-03-19,Perempuan,AB,"Jalan S. Parman No. 5
Banjar, NT 38622",Islam,belum menikah,Wiraswasta,WNI
6923445801181493,Jarwadi Dongoran,Purwokerto,1937-01-06,Perempuan,O,"Gang Surapati No. 8
Bima, NB 51966",Katolik,cerai,Pelajar,WNI
0401987844839485,Ibrahim Manullang,Sukabumi,1915-08-22,Laki-Laki,O,"Jl. Monginsidi No. 828
Salatiga, Kalimantan Timur 75224",Islam,cerai,Wiraswasta,WNA
9374702359865194,Maya Hidayanto,Sukabumi,1955-11-23,Laki-Laki,O,"Gang Otto Iskandardinata No. 426
Tidore Kepulauan, PB 35790",Islam,cerai,Wiraswasta,WNI
9482791735819226,"dr. Rina Mahendra, S.Pt",Cirebon,2010-08-02,Perempuan,O,"Jl. HOS. Cokroaminoto No. 77
Lubuklinggau, Bali 40535",Islam,cerai,Mahasiswa,WNA
7636851560839835,Tgk. Vicky Anggriawan,Parepare,1982-06-21,Laki-Laki,O,"Gg. Moch. Toha No. 959
Banjarmasin, Kalimantan Utara 24117",Katolik,menikah,Karyawan Swasta,WNA
1002581873894838,Kala Lestari,Tanjungpinang,1913-11-01,Perempuan,A,"Gg. Soekarno Hatta No. 697
Solok, Banten 78524",Kristen,menikah,Tidak Bekerja,WNI
1466456888277906,"Bahuwarna Mardhiyah, S.Pd",Palopo,1972-02-09,Laki-Laki,B,"Jalan Medokan Ayu No. 0
Cirebon, Papua 72823",Islam,cerai,Tidak Bekerja,WNI
7164157727860129,Lantar Laksmiwati,Pontianak,1938-12-20,Perempuan,O,"Gg. Antapani Lama No. 00
Bogor, Nusa Tenggara Barat 48312",Kristen,cerai,Tidak Bekerja,WNA
5017742517099694,Sutan Gangsa Yuliarti,Surakarta,2023-12-24,Laki-Laki,O,"Jalan Rumah Sakit No. 46
Blitar, Nusa Tenggara Barat 88301",Kristen,menikah,Karyawan Swasta,WNA
5304117727206870,Yulia Prasetyo,Kendari,1914-03-03,Laki-Laki,AB,"Jalan Waringin No. 320
Tangerang, RI 98249",Buddha,cerai,Wiraswasta,WNI
0078778419579987,Nugraha Prastuti,Bengkulu,2016-05-22,Laki-Laki,O,"Gg. Ciumbuleuit No. 837
Pekanbaru, AC 28206",Kristen,cerai,PNS,WNA
2621592159211114,"Cut Ella Pradipta, S.Kom",Kota Administrasi Jakarta Selatan,2004-04-24,Perempuan,B,"Jl. Kendalsari No. 3
Tidore Kepulauan, Bengkulu 68059",Konghucu,cerai,Mahasiswa,WNI
3516426069719267,dr. Yani Rahimah,Bukittinggi,1940-04-27,Perempuan,AB,"Gang Moch. Toha No. 294
Bau-Bau, Gorontalo 38241",Kristen,belum menikah,Pelajar,WNA
6886192696545431,Kamila Halim,Kediri,1920-02-28,Perempuan,A,"Gang Lembong No. 5
Bandar Lampung, KS 03158",Konghucu,belum menikah,Wiraswasta,WNA
3672074452870853,"Capa Iswahyudi, M.Farm",Bitung,1934-04-22,Laki-Laki,AB,"Gg. S. Parman No. 489
Makassar, JT 52704",Buddha,cerai,Wiraswasta,WNA
6700425321579406,Ghani Hidayat,Kota Administrasi Jakarta Selatan,1918-03-24,Perempuan,O,"Jl. Jakarta No. 7
Tegal, Kalimantan Timur 27992",Islam,belum menikah,Karyawan Swasta,WNI
7748437041983165,R.A. Siti Anggriawan,Bukittinggi,1931-05-12,Perempuan,B,"Jalan Sadang Serang No. 241
Makassar, Papua 78759",Buddha,belum menikah,Wiraswasta,WNI
4823559338137392,Virman Thamrin,Sukabumi,1970-03-13,Perempuan,B,"Jl. Soekarno Hatta No. 7
Sorong, JK 51139",Buddha,cerai,Karyawan Swasta,WNA
1447008309476952,R. Johan Utami,Banjarbaru,1949-06-21,Perempuan,B,"Jl. Suryakencana No. 97
Bitung, AC 58030",Islam,cerai,Wiraswasta,WNI
5556528126105211,Tgk. Jagapati Haryanti,Bontang,2015-03-24,Perempuan,AB,"Jalan Veteran No. 713
Bontang, Jambi 96715",Islam,belum menikah,Tidak Bekerja,WNI
9639436677565355,"Dr. Hartaka Palastri, M.Ak",Pagaralam,1978-04-22,Perempuan,B,"Jalan Antapani Lama No. 63
Palangkaraya, SB 31738",Hindu,cerai,PNS,WNI
6418636810327725,"Dr. Okto Wastuti, S.Gz",Banjar,1915-03-23,Perempuan,O,"Gang Rungkut Industri No. 1
Singkawang, KB 44496",Hindu,menikah,Tidak Bekerja,WNA
7146448573302005,Umi Andriani,Tidore Kepulauan,1949-08-19,Perempuan,AB,"Gang H.J Maemunah No. 567
Surakarta, SS 45646",Katolik,belum menikah,PNS,WNA
8287079900719507,Wani Hutagalung,Singkawang,1910-12-15,Perempuan,AB,"Gg. R.E Martadinata No. 47
Pagaralam, Nusa Tenggara Barat 75243",Kristen,cerai,Karyawan Swasta,WNA
0934212277988591,Ulya Wastuti,Lubuklinggau,1980-03-12,Laki-Laki,B,"Jl. Setiabudhi No. 129
Balikpapan, YO 87600",Hindu,menikah,Pelajar,WNA
9988338605888768,Ilsa Nashiruddin,Bontang,1937-09-01,Laki-Laki,B,"Gang Cikutra Barat No. 83
Makassar, KS 02120",Islam,menikah,PNS,WNA
9931239881031876,Bakiono Mustofa,Kota Administrasi Jakarta Timur,2021-10-25,Laki-Laki,O,"Jalan Gardujati No. 33
Tomohon, BE 42150",Buddha,cerai,Karyawan Swasta,WNA
3748574255653641,"Olivia Mangunsong, S.Ked",Cirebon,1931-08-12,Perempuan,O,"Jalan Jend. A. Yani No. 36
Cirebon, JA 33715",Konghucu,belum menikah,Pelajar,WNI
1278851381178280,"drg. Icha Wacana, S.Psi",Palopo,2006-09-24,Perempuan,AB,"Jl. Cikapayang No. 34
Kota Administrasi Jakarta Timur, MU 54847",Kristen,belum menikah,Wiraswasta,WNA
0005676981590608,Wardi Tampubolon,Cimahi,1965-01-02,Laki-Laki,A,"Gg. Raya Ujungberung No. 881
Cilegon, RI 28509",Katolik,menikah,Pelajar,WNI
0500747984089452,Clara Sitorus,Dumai,1935-11-04,Laki-Laki,B,"Gang Ciwastra No. 228
Bengkulu, Kalimantan Utara 99509",Katolik,menikah,Karyawan Swasta,WNA
7055699267058946,Winda Permata,Makassar,1980-11-09,Laki-Laki,AB,"Jl. Rajawali Timur No. 95
Sawahlunto, Jawa Barat 51889",Konghucu,belum menikah,PNS,WNA
6215824501936736,"Faizah Dabukke, S.I.Kom",Tegal,1955-03-18,Laki-Laki,AB,"Gg. Ir. H. Djuanda No. 5
Pasuruan, Kepulauan Riau 02781",Konghucu,cerai,PNS,WNI
2193273339519942,Mahmud Melani,Payakumbuh,2003-03-19,Laki-Laki,A,"Gang Abdul Muis No. 611
Lubuklinggau, SB 79568",Konghucu,menikah,PNS,WNI
8103549522084536,Salsabila Maheswara,Bukittinggi,2005-03-07,Perempuan,AB,"Gang Pasteur No. 580
Semarang, BE 21410",Konghucu,cerai,PNS,WNI
8866963426294159,"Hasim Rahayu, S.Sos",Depok,1997-09-13,Laki-Laki,AB,"Gang BKR No. 0
Magelang, KR 47192",Katolik,belum menikah,Karyawan Swasta,WNI
8332960978791343,Teguh Saefullah,Cilegon,1910-07-26,Perempuan,O,"Gg. Veteran No. 865
Batu, SB 69508",Kristen,cerai,PNS,WNI
0492269251538825,Gading Pudjiastuti,Cilegon,1969-09-05,Laki-Laki,O,"Gg. Raya Setiabudhi No. 59
Palopo, Sumatera Barat 45784",Buddha,menikah,Pelajar,WNI
9597550068532700,"Cici Puspita, S.Psi",Kediri,2018-10-11,Laki-Laki,A,"Jl. Wonoayu No. 493
Palangkaraya, LA 80770",Katolik,belum menikah,PNS,WNA
9787446960734620,"dr. Prabu Rajasa, S.E.",Bandar Lampung,1942-04-10,Perempuan,A,"Gang Pasteur No. 1
Tidore Kepulauan, Bengkulu 24090",Katolik,menikah,Karyawan Swasta,WNA
5434013705968934,Heru Halimah,Batu,1926-07-18,Laki-Laki,A,"Gg. HOS. Cokroaminoto No. 5
Cilegon, Jambi 95081",Katolik,cerai,Pelajar,WNA
9567383701003825,dr. Dagel Wacana,Pekalongan,1966-01-11,Perempuan,O,"Jalan Surapati No. 76
Pariaman, KB 22328",Hindu,menikah,Wiraswasta,WNA
9514568636747671,Edi Palastri,Samarinda,1968-02-01,Perempuan,AB,"Gang Merdeka No. 79
Bogor, KT 76155",Konghucu,belum menikah,Karyawan Swasta,WNA
0353598927791042,dr. Jamalia Purwanti,Jayapura,1911-06-21,Perempuan,O,"Jalan Pasteur No. 0
Kota Administrasi Jakarta Pusat, RI 26168",Buddha,cerai,Wiraswasta,WNA
1874523369188495,Raina Wahyudin,Jayapura,1919-12-10,Laki-Laki,B,"Gang Jayawijaya No. 9
Lhokseumawe, JT 71211",Buddha,menikah,Karyawan Swasta,WNA
8167969702023355,"Elisa Laksita, M.M.",Semarang,1999-09-19,Perempuan,AB,"Jl. Antapani Lama No. 1
Makassar, SU 80074",Hindu,cerai,Pelajar,WNI
5083767262711468,Panji Nuraini,Surakarta,2003-01-29,Laki-Laki,B,"Gang Cikapayang No. 6
Surakarta, Sumatera Utara 39989",Konghucu,cerai,Karyawan Swasta,WNA
3423860663325068,Lantar Saptono,Malang,1927-11-19,Laki-Laki,AB,"Gang Rajiman No. 0
Solok, Bengkulu 75801",Islam,cerai,PNS,WNI
4173503799389724,"Elisa Anggraini, S.Ked",Bekasi,1943-03-28,Laki-Laki,AB,"Gang Cikutra Barat No. 450
Serang, Sulawesi Barat 66231",Islam,cerai,Pelajar,WNA
0797766540979139,Teguh Pradana,Langsa,1909-04-20,Perempuan,AB,"Jl. Tubagus Ismail No. 628
Pekanbaru, Lampung 22994",Katolik,belum menikah,Pelajar,WNA
2503330280335524,"Restu Saputra, S.I.Kom",Probolinggo,1959-01-26,Perempuan,A,"Jalan Kutisari Selatan No. 67
Cilegon, SU 12292",Islam,belum menikah,Wiraswasta,WNA
9253256765751938,dr. Argono Uyainah,Sabang,1937-01-21,Perempuan,A,"Jl. Jakarta No. 609
Banjarbaru, RI 73250",Kristen,cerai,Wiraswasta,WNI
5981027090639824,Patricia Megantara,Bukittinggi,1969-01-24,Perempuan,O,"Jalan BKR No. 714
Balikpapan, Lampung 93900",Hindu,cerai,Wiraswasta,WNI
9140729565792445,"Kusuma Lailasari, M.Kom.",Medan,1916-09-03,Perempuan,A,"Jl. Sukajadi No. 370
Kediri, BE 50658",Islam,belum menikah,Karyawan Swasta,WNA
8778575536180946,Saka Kuswandari,Bukittinggi,2010-05-27,Perempuan,A,"Gang Suniaraja No. 84
Bau-Bau, Sulawesi Barat 96078",Konghucu,cerai,Wiraswasta,WNA
6266611517218716,Jatmiko Tarihoran,Bogor,1989-06-30,Laki-Laki,AB,"Gang KH Amin Jasuta No. 673
Bau-Bau, KU 68726",Konghucu,menikah,Karyawan Swasta,WNA
6515699325883708,Dirja Budiman,Kotamobagu,2017-09-25,Laki-Laki,B,"Gg. Cikutra Barat No. 741
Makassar, Aceh 31183",Islam,cerai,PNS,WNA
9226254267876717,Baktiono Sitorus,Bandar Lampung,1925-09-23,Perempuan,O,"Jalan M.T Haryono No. 79
Ternate, NB 01963",Katolik,cerai,Tidak Bekerja,WNA
2914491278457439,"Dr. Garan Mayasari, M.Farm",Mojokerto,1930-01-28,Laki-Laki,AB,"Gang R.E Martadinata No. 6
Palopo, Sulawesi Utara 55446",Kristen,cerai,Mahasiswa,WNI
6674564648785290,Citra Kusumo,Kota Administrasi Jakarta Barat,1916-09-22,Laki-Laki,A,"Gang Antapani Lama No. 7
Gorontalo, NB 82125",Buddha,menikah,Wiraswasta,WNA
3047145835596093,Dalimin Sitompul,Padangpanjang,1960-03-19,Perempuan,A,"Jalan Rawamangun No. 700
Palopo, SU 38386",Kristen,cerai,Tidak Bekerja,WNA
6337659851275637,"Usman Wahyudin, S.Gz",Manado,1911-09-02,Laki-Laki,A,"Gg. Jend. A. Yani No. 81
Prabumulih, Gorontalo 14468",Buddha,menikah,Pelajar,WNA
7492097480936594,Rina Padmasari,Batam,1927-09-27,Laki-Laki,O,"Jl. Setiabudhi No. 962
Meulaboh, BA 36306",Buddha,menikah,Tidak Bekerja,WNA
5373551185148351,"R.A. Paris Suryono, S.Psi",Makassar,1958-06-12,Laki-Laki,O,"Gang Asia Afrika No. 9
Solok, Sumatera Barat 92308",Katolik,belum menikah,Pelajar,WNI
3943546205838255,Mahdi Winarno,Jayapura,1956-04-17,Perempuan,B,"Jalan Monginsidi No. 45
Bau-Bau, SN 22784",Buddha,cerai,PNS,WNI
5594453677098591,Tina Yuliarti,Lhokseumawe,1973-06-19,Laki-Laki,AB,"Jl. M.T Haryono No. 8
Kota Administrasi Jakarta Pusat, JT 26366",Hindu,belum menikah,Wiraswasta,WNI
9739758515043206,R.A. Laras Waluyo,Banjarmasin,1917-12-19,Perempuan,A,"Jalan Ciumbuleuit No. 69
Padang, Sumatera Utara 27040",Kristen,cerai,Mahasiswa,WNI
0100566953745925,"Yessi Mangunsong, S.Farm",Batam,1979-03-26,Laki-Laki,A,"Jl. Sukabumi No. 073
Kota Administrasi Jakarta Timur, Jawa Tengah 87640",Buddha,cerai,Wiraswasta,WNI
5845538568848748,"H. Darimin Nuraini, S.Sos",Ambon,1952-11-08,Laki-Laki,A,"Gg. Sukajadi No. 523
Tomohon, KT 72724",Buddha,menikah,Wiraswasta,WNI
7471631320427353,Tina Fujiati,Bandar Lampung,1967-01-26,Perempuan,B,"Jl. Dr. Djunjunan No. 35
Cimahi, Sumatera Selatan 83463",Kristen,cerai,Pelajar,WNI
9313275559792056,Titi Sudiati,Samarinda,1947-07-21,Laki-Laki,A,"Jl. Yos Sudarso No. 533
Pekanbaru, Sulawesi Tenggara 45706",Katolik,belum menikah,Pelajar,WNI
3809739208785620,drg. Farah Prasetya,Metro,1995-02-02,Laki-Laki,B,"Jl. Rungkut Industri No. 691
Prabumulih, Bali 04134",Hindu,cerai,Mahasiswa,WNA
0680202979914728,"Karimah Yuliarti, S.Ked",Bandar Lampung,1928-09-03,Laki-Laki,B,"Jl. Joyoboyo No. 98
Langsa, AC 54006",Katolik,cerai,PNS,WNI
8308252563367346,Dian Mangunsong,Batam,2023-09-11,Perempuan,A,"Jalan Rajiman No. 13
Tanjungbalai, Jawa Barat 55222",Islam,belum menikah,Mahasiswa,WNA
1404445377748564,Cut Puji Hartati,Sungai Penuh,1983-03-28,Laki-Laki,B,"Gg. Pacuan Kuda No. 8
Serang, Jambi 85604",Buddha,cerai,Wiraswasta,WNA
6545747294247847,Makuta Prasetyo,Magelang,2000-07-28,Perempuan,O,"Jl. Jayawijaya No. 98
Kediri, Lampung 23846",Buddha,menikah,Pelajar,WNI
6781119399586172,Mujur Pradipta,Cimahi,1941-11-03,Laki-Laki,B,"Jl. Monginsidi No. 901
Tangerang, Gorontalo 53831",Konghucu,cerai,Mahasiswa,WNI
3094911795287094,"Ajimin Pradipta, S.I.Kom",Blitar,1963-07-28,Perempuan,O,"Jalan Setiabudhi No. 1
Padang, Sulawesi Tengah 15145",Buddha,cerai,Mahasiswa,WNA
9848791772905019,Janet Kurniawan,Solok,1943-01-11,Perempuan,A,"Jl. Kiaracondong No. 4
Tangerang Selatan, Jawa Timur 82000",Buddha,cerai,Tidak Bekerja,WNA
6691968591570558,R.M. Karya Wastuti,Medan,1962-05-23,Perempuan,AB,"Gang M.T Haryono No. 72
Banjarbaru, RI 82352",Islam,cerai,Wiraswasta,WNA
5651403316064350,Jail Wijaya,Palopo,1926-07-20,Laki-Laki,AB,"Jalan Dipenogoro No. 13
Madiun, Lampung 61650",Buddha,menikah,Mahasiswa,WNA
3493236931584561,Cager Sihotang,Langsa,1954-01-22,Laki-Laki,A,"Gg. HOS. Cokroaminoto No. 669
Padang, MU 96906",Buddha,menikah,Tidak Bekerja,WNI
8998979318254575,"Dt. Upik Ardianto, S.E.",Denpasar,1969-07-22,Laki-Laki,B,"Jl. Soekarno Hatta No. 877
Meulaboh, Nusa Tenggara Timur 35868",Hindu,menikah,Pelajar,WNA
2367266466659800,dr. Sarah Pangestu,Dumai,2016-09-26,Perempuan,A,"Gg. H.J Maemunah No. 776
Tual, PA 66309",Hindu,menikah,Tidak Bekerja,WNA
5897010676911040,Farhunnisa Irawan,Bogor,1996-11-27,Perempuan,B,"Gang Rumah Sakit No. 22
Pematangsiantar, Gorontalo 12890",Islam,cerai,Mahasiswa,WNA
2469889847661052,"Iriana Andriani, S.E.",Bengkulu,2015-06-24,Perempuan,AB,"Jl. Tebet Barat Dalam No. 716
Ternate, KU 27853",Konghucu,menikah,Pelajar,WNI
7526607169047760,Ir. Natalia Firmansyah,Sungai Penuh,2001-07-28,Laki-Laki,AB,"Gg. Jend. Sudirman No. 64
Solok, SS 85494",Buddha,cerai,Karyawan Swasta,WNI
1102038560092626,"Drs. Ami Nainggolan, M.M.",Palu,1992-08-30,Perempuan,O,"Jalan Rajawali Timur No. 1
Madiun, Kalimantan Selatan 79412",Buddha,menikah,Mahasiswa,WNA
0665214297322980,"Ir. Unjani Rahmawati, S.IP",Meulaboh,1947-05-27,Perempuan,A,"Gg. Pasirkoja No. 93
Kota Administrasi Jakarta Timur, SU 91866",Islam,cerai,Pelajar,WNI
4080722938850020,Rahmi Kusmawati,Bukittinggi,1990-04-04,Perempuan,AB,"Jl. Jakarta No. 83
Kendari, SS 67230",Konghucu,cerai,Tidak Bekerja,WNI
1727677500284076,"Chelsea Gunawan, S.Sos",Batam,1928-03-23,Laki-Laki,B,"Jalan Ciumbuleuit No. 750
Bau-Bau, Sulawesi Tenggara 90778",Katolik,cerai,Wiraswasta,WNA
8701299898867365,Tirtayasa Widiastuti,Banjarbaru,1988-09-06,Laki-Laki,B,"Gang M.H Thamrin No. 016
Mojokerto, Jawa Timur 91429",Islam,cerai,Wiraswasta,WNA
3138324621543761,Lalita Nurdiyanti,Dumai,2003-03-15,Laki-Laki,B,"Gang Ciumbuleuit No. 62
Tidore Kepulauan, Jawa Tengah 95632",Hindu,menikah,Tidak Bekerja,WNI
0545168070286649,Dr. Ilsa Zulaika,Cimahi,2022-01-10,Perempuan,AB,"Gg. M.H Thamrin No. 377
Kupang, JA 88196",Katolik,belum menikah,Mahasiswa,WNA
8156416270595194,"drg. Nadia Hardiansyah, S.T.",Pekalongan,1987-03-21,Laki-Laki,B,"Gg. Bangka Raya No. 035
Sabang, Gorontalo 48945",Hindu,belum menikah,Pelajar,WNA
4986565757173092,"Karman Santoso, S.E.",Palangkaraya,1950-02-13,Laki-Laki,AB,"Gg. Ronggowarsito No. 48
Metro, Sumatera Utara 81371",Konghucu,menikah,PNS,WNA
4735297729930639,"Jatmiko Utami, S.Kom",Palu,1966-01-20,Perempuan,B,"Gang Kapten Muslihat No. 65
Jambi, LA 34496",Islam,belum menikah,Pelajar,WNA
7587032070276470,"Drs. Satya Permadi, S.T.",Singkawang,1997-11-14,Laki-Laki,B,"Jl. M.T Haryono No. 0
Metro, Jawa Tengah 62711",Konghucu,menikah,Tidak Bekerja,WNI
2054529456960460,"Wakiman Sihombing, S.Kom",Langsa,1969-08-02,Laki-Laki,B,"Gg. Medokan Ayu No. 29
Kupang, Nusa Tenggara Timur 08380",Buddha,belum menikah,Wiraswasta,WNI
6820600890716281,Puti Safina Kusumo,Prabumulih,1935-09-07,Laki-Laki,A,"Gang Pacuan Kuda No. 625
Madiun, Kalimantan Tengah 41171",Islam,belum menikah,PNS,WNI
8775227324199876,Bakiadi Firmansyah,Tual,2005-10-29,Perempuan,AB,"Jl. Veteran No. 27
Padang, NB 47440",Katolik,cerai,PNS,WNA
4534680371692567,Hj. Anita Napitupulu,Bengkulu,1966-10-27,Laki-Laki,A,"Jl. Ir. H. Djuanda No. 480
Mataram, SB 40256",Katolik,cerai,Mahasiswa,WNA
9954554157076940,Septi Rahimah,Tebingtinggi,1961-02-07,Perempuan,AB,"Jl. Antapani Lama No. 5
Tomohon, Jawa Barat 65141",Buddha,menikah,PNS,WNA
4680131074999902,"R.M. Aris Lestari, M.Farm",Serang,1938-03-14,Laki-Laki,A,"Jl. Gardujati No. 0
Gorontalo, MU 18203",Hindu,belum menikah,Karyawan Swasta,WNI
3928373485155696,"Olivia Wijayanti, S.Sos",Kendari,2009-03-06,Perempuan,O,"Jalan BKR No. 658
Tarakan, Sulawesi Utara 58033",Islam,belum menikah,Mahasiswa,WNI
